Country,Scale,Region,Mandatory policy,Marine Specific,marine included,Implicit_Explicit,Type, Focus,Name,Legislation,Year,Name of Legislation,Objective,Mechanism,Length,Stage,Confirmed,"
Goal",Source,Other/ Notes,
France,European Union,Europe,Yes,No,Yes,Implicit,Compensation,Biodiversity,Natura 2000 (Marine),Legislation,2010,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",,,In Progress,confirmed,NNL,"Tucker, Graham; Allen, Ben; Conway,
Mavourneen; Dickie, Ian; Hart, Kaley; Rayment, Matt; Schulp, Catharina; van Teeffelen,
Astrid (2013) Policy Options for an EU No Net Loss Initiative. Report to the European
Commission. Institute for European Environmental Policy, London.

http://ec.europa.eu/environment/nature/biodiversity/nnl/pdf/Subgroup_NNL_Scope_Objectives.pdf","In France, the mitigation hierarchy has been enshrined in environmental law since 1976.
More recently, in 2012 and 2013, as a result of the introduction of the Birds, Habitats, and Environmental Liability Directives in 1979, 1992, and 2004 respectively, the French government published guidance on the mitigation hierarchy, with no net loss as an explicit goal (Qu‚tier et al., 2014).

France has a requirement to compensate for negative environmental impacts stipulated in the environmental law since 1976. However, the French compensation requirement was never properly implemented until a set of reforms were introduced starting in 2007 as a result of a national consultative process on environmental policy (called ?Grenelle de l?Environnement?). To streamline offset implementation, France has launched a pilot habitat banking scheme and in 2008 the French ministry for the environment in cooperation with the private ?CDC Biodiversit‚? (a specialized subsidiary of a state-owned sovereign fund) started to implement a first pilot on biodiversity offsets, by restoring natural grasslands in the Crau area in Southern France (5). In June 2011 the French government chose to expand this pilot to several other regions and foster additional habitat banks. Furthermore, French offsetting requirements have been significantly strengthened by the issuance of a ?doctrine? on how to best avoid, reduce and offset (?sequence ERC? (1)) impacts on biodiversity and ecosystems (2) as well as accompanying guidelines (lignes directrices) in 2012. (3)
In 2016 the French national Assembly adopted a new biodiversity law (4), which now also includes the application of the mitigation hierarchy in order to reach the goal of No Net Loss (or preferably Net Gain) of biodiversity. Furthermore, the law allows for 3rd party providers of offsets (habitat banking) who will require the prior approval of the French authorities in order to be able to operate. he ?Lignes directrices nationales sur la s‚quence ‚viter, r‚duire et compenser les impacts sur les milieux naturels? state that if residual impacts remain after avoidance and minimization steps, compensation is mandatory in the case of damage resulting in ?major environmental issues?. Step?by?step recommendations are given as to how to go through the mitigation hierarchy when planning and implementing a project. 31 thematic spread sheets set out single steps or specific cases are presented in some detail, e.g. for marine environments. (Darbi et al. 2016).

A thorough review (Jacob et al.sub.) of about 50 EIAs carried out for coastal and marine projects in France also reveals that an additional pitfall of implementing mitigation measures for coastal and marine contexts lies in the unsuitability of the methodologies used to assess both the ecological losses liable to result from a development project and the ecological gains liable to be generated by an offset measure.(Bas et al. 2016).",
French Guiana,National,South/Central America,Yes,No,Yes,Explicit,Offset,Biodiversity,"National doctrine on the mitigation
hierarchy, and national guidelines
on the mitigation hierarchy, draft habitat banking scheme",Legislation,2007; 2012,"General Environmental Law:
le code de l'environnement (French Environmental Code) last updated on 1 January 2017

- For extracts, see notes and french environmental code extracts file

- Article L. 122 -3 and L. 122-6 of the Environmental Code:
 ? Legal obligation against project owners to avoid, reduce, and offset (ERC) impacts of their projects on the natural environment.

Article L122-6 (Inserted by Order no. 2004-489 of 3 June 2004 Article 1 IV Official Journal of 5 June 2004) The environmental evaluation includes the drawing-up of a report which identifies, describes and evaluates the notable effects which the implementation of the plan or document may have on the environment. This report presents the measures provided for to reduce and, where possible, to compensate for the notable negative effects that the application of the plan may cause to the environment. It sets out the other solutions envisaged and the reasons, notably from the point of view of environmental protection, why the project has been selected.

- Article R.122-14-I of the French Environmental Code ? 
Offsets are legally defined as measures that ?aim to offset the significant negative effects, direct or indirect, of the project that could not be avoided or sufficiently reduced. They are implemented in priority on the damaged site or in proximity to it, so as to ensure its functionality through time. They must ensure that the environmental quality of habitats is globally maintained or, if possible, enhanced?. (Qu‚tier et al., 2014)

- 2012: Doctrine relative a la sequence eviter, reduire et compenser les impacts sur le milieu naturel

Sets the characteristics of the French offset policy to be explicitly NNL including details of international best practice such as additionality, equivalency, permanence, etc. 

- 2013: Lignes directrices nationales sur la sequence eviter, reduire et compenser les impacts sur les milieu naturels

This is the methodological document on how to design and implement offset as required by the French law","In Latin America five territories required the use of offsets (Brazil, Colombia, French Guiana, Mexico and Paraguay (Villaroya et al.)",,,Established,confirmed,,Villarroya et al. 2014; http://creocean.fr/en/eia-marine-environment-french-guiana,,
Gabon,National,Africa,Yes,No,Yes,Implicit,Offset,Environment,Sustainable development law,Legislation,2014,2014 Sustainable Development law (Quieter et al. 2015),,"It establishes the framework for a scheme to attempt to offset harm caused to nature and communities through the purchase of environmental and social credits. The SDL is a ?framework law?, meaning that details will be elaborated in future implementing decrees. At present it simply sets the groundwork for a national credit-trading market, called the sustainable development register.The SDL does not go into detail about sustainable
development concessions beyond saying that sustainable development credits are generated by sustainable development concessions. 7  Gabonese civil society believe they could include the full range of Gabonese concessions including logging concessions, palm oil plantations, mining projects, infrastructure projects and REDD+ concessions.Sustainable development credits are ?generated by the creation or preservation of sustainable development
assets during the project?s activities.?8  For example, a credit could be generated by a conservation project preserving an area of high biodiversity, or by a palm oil
plantation project creating jobs. These sustainable development credits are divided into
four different types, each of which will be difficult to measure (see 5.1):9
? Carbon credits consists of a ?metric tonne of carbon dioxide?
? Biodiversity credits are the ?ecological biodiversity value contained in an ecosystem?
? Ecosystem credits are the ?market and non-market value attributed to an ecosystem?
? Community capital credits are the ?sum of the natural and cultural assets belonging to a
community.?1...... According to the SDL, if a project operator generates
sustainable development credits during the course of
running the project (for example by preserving an area
of biodiversity, or creating a certain number of jobs),
it can place the credits on the national sustainable
development register, which will be administered by a
government-run management body.
14 Other project
operators can then buy these credits to ?compensate?
negative impacts of their own projects, such as polluting
a stream or damaging local communities? crops.15    (FERN)",,Preliminary,confirmed,,"Pilla. 2014. Inter-American Development Bank; (Quieter et al. 2015. Biodiversity offsets: Opportunities and challenges for managing cumulative impact of large-scale land-based investments on Africa's Forest Landscapes and their biodiversity- 

FERN.ND. http://www.fern.org/sites/fern.org/files/Trading%20away%20rights.pdf","French regulations impose an environmental impact assessment (EIA) that must be included in the Requests for commencement of work.According to regulations, the EIA drawn up by CREOCEAN comprised:
 the description of the current state of the site (or initial condition): physical environment, biological environment and human activities on and around the site, respectively for seismic activity and drilling, including regulatory protection.
 analysis of potential consequences for the activities envisaged on the natural and human environment,
 the list of measures that will be taken to avoid, eliminate or reduce as much as possible the disadvantages or nuisances that might be caused by this work.
CONCLUSIONS
The analysis demonstrated that the impacts of exploration drilling are negligible to low on water and fish.
The magnitude of the drilling's effects on more sensitive and emblematic aspects (turtles, cetaceans and birds) was evaluated as low to medium.
The sediment around the drilling wells was identified as a compartment that was poor to medium affected by the prospecting operations, particularly through waste fluid and drilling excavation that disturbs the physics-chemistry and the nature of the sea-bed.
Measures were recommended to reduce (aiming to lower the time parameter linked to each effect) and environmentally monitor before and after drilling around the wells.http://creocean.fr/en/eia-marine-environment-french-guiana",
Gabon,Organisation,Africa,Yes,Yes,Yes,Explicit,,Offshore,,Voluntary Corporate Standards,,,Partnership with Wildlife Conservation Society to improve EIA processes and the application of the mitigation hierarchy in offshore environments.,,,,,,"Tullow Oil, 2009 Corporate Responsibility Report, (2009). http://www.tullowoil.com/Media/docs/default-source/3_investors/2009-tullow-cr-report.pdf?sfvrsn=2 (accessed December 18, 2015).
Tullow Oil and WCS initiate a vast research project on the marine environment, Le Gabon.org. (2012). http://www.en.legabon.org/news/1241/tullow-oil-and-wcs-initiate-vast-research-project-marine-environment (accessed August 20, 2015). Tullow Oil, Biodiversity Research with the Wildlife Conservation Society, 2013. (n.d.). http://www.tullowoil.com/media/case-studies/biodiversity-research-with-the-wildlife-conservation-society (accessed August 20, 2015).",,
Georgia,National,Europe,Yes,No,Yes,Implicit,EIA,Environment,The Law of Georgia on Protection of the Environment; The Law of Georgia on Protected Areas,Legislation (EIA in Development),1996; 2003,"The Law of Georgia on Protection of the Environment regulates legal relationship between the bodies of the state authority and physical persons/legal entities in the scope of environmental protection and consumption of natural resources on all Georgian territory including its territorial waters, airspace, continental shelf and special economic zones. The law concerns environmental education, environmental management, economic sanctions, licensing, standards, environmental impact assessment and related issues. The law considers various aspects of ecosystem protection, protected areas, global and regional environmental management, protection of the ozone layer, biodiversity and the Black Sea, as well as discussing international cooperation aspects. The main goals of the law are promotion of biological diversity, conservation of the country-specific, rare, endemic and endangered species of flora and fauna, marine environmental protection and provision of ecological balance. Law defines ""biological diversity conservation principle"", meaning that an activity should not lead to irreversible degradation of biodiversity...... The Law of Georgia on Protected Areas gives a definition of protected areas (including national parks, reserves, State Preserves and multiple use areas) and sets frameworks of activities, permitted in those areas. Eligible activities are determined according to the area designation, territory legislation, specific
provisions and protected area management plans, as well as in accordance with the requirements of international agreements and conventions signed by Georgia. It defines limits of the natural resource use within national parks and other protected areas.........The Law of Georgia on Wildlife provides protection and restoration of the wildlife and its habitats, conservation of species diversity and genetic resources, sustainability and creating conditions for sustainable development, taking into account interests of future generations; legislative provision of the state regulation, regarding animal protection and animal wildlife...... n addition to these, the Law of Georgia on Environmental Impact Permit 2007 gives a complete list of
activities subject to ecological examination (Article 4, Chapter II) and defines environmental examination through the EIA process as an obligatory step for obtaining authorisation for implementation of the planned development. This includes development of a hydroelectric power station with 2 MW or higher installed
capacity. The legislation sets out the legal basis for issuance of environmental permits, including implementation of an ecological examination, public consultations and community involvement in the processes. According to the Law, the environmental permit is the key procedure for implementation of an activity on the territory of Georgia. The permit takes ecological, social and economic interests of the public
and the state into consideration in order to protect human health and natural and cultural assets and heritage.  (MacDonald 2013)

 2003 Regulation on environmental impact assessments. ""Plans to mitigate or avoid
possible negative impacts on environment should be elaborated"". No mention of offset and compensate/tion. Mitigation is used int he general context (GiBop 2018)"," Ensure that infrastructure development and other activities that could have a significant impact on biodiversity are subjected to the Environmental Impact Assessment (EIA) based on environmental standards; Implement adequate and fair compensation mechanisms where damage to biodiversity is unavoidable (Georgia, National Biodiversity Strategy and Action Plan of Georgia 2014 ? 2020)

",,,Potential,confirmed,,"CBD. GEORGIA Second National Report to the Convention on
Biological Diversity Ministry of Environment Protection and Natural resources. https://www.cbd.int/doc/world/ge/ge-nr-02-en.pdf

Georgia, National Biodiversity Strategy and Action Plan of Georgia 2014 ? 2020) http://biodivers-southcaucasus.org/wp-content/uploads/2015/02/NBSAP-English.pdf

MacDonald, M.2013. Biodiversity Action Plan
Adjaristsqali Hydropower Cascade Project.Prepared for the Asian Development Bank. https://www.adb.org/sites/default/files/project-document/80546/47919-014-esia-06.pdf","In Africa, a system is being developed by South Africa at a national level and at a state level. Namibia is integrating biodiversity offsets into their Strategic Environmental Assessment (SEA). Uganda, Madagascar, Gabon, Mozambique, Guinea are also initiating processes to develop some type of policy, legislation and guidance on biodiversity offsets (Inter-American Development Bank 2014).

This trading mechanism system seems to allow full
exchangeability across all credit types, meaning it would
be possible to trade, for example, community rights with
biodiversity. In practice, this could mean taking away
community land in one province and planting trees in
another, or polluting a water source in one area and
building a school for a community in another. Moreover
it is unclear if the trading of development credits will be
limited to trade within the territory of Gabon; there is
no provision that excludes the international trading of
credits. (FERN)",
Germany,National,Europe,Yes,No,Yes,Explicit,Offset,Fish,"Impact mitigation regulation (IMR)(Eingriffsregelung) - The IMR applies to developments and projects on all areas, scales of impact and sectors (excluding agriculture, forestry and fisheries)",Legislation,2010,"The 1976 Federal Nature Conservation Act, 

 - 1- Gesetz ber die Umweltvertr„glichkeitsprfung (UVPG) - Law on Environmental Impact Assessment http://www.gesetze-im-internet.de/uvpg/BJNR102050990.html 
 
 Offset is required under article 6(3):
 3. The documents referred to in paragraph 1 shall contain at least the following information:
 1.Description of the project with details of location, type and extent as well as need for land,
 2. A description of the measures designed to prevent, mitigate or offset, as far as possible, significant adverse environmental impacts of the project, as well as the replacement measures for non-compensatory but priority interventions in nature and landscape, (GiBOP 2018).","Preservation of the existing ecological situation (Madsen et al); This law is mandatory and precautionary, aiming to ensure ""no net loss"" by avoiding any damage, and restoration and replacement compensation for residual unavoidable impacts.  Germany already has a decades-old impact-mitigation regulation system at the national level for the purpose of achieving no net loss by means of avoidance, mitigation, compensation and offsetting for projects impacting upon nature and the landscape (Albrecht et al 2014

This mandatory system builds on the provisions in the 1976 Federal Nature Conservation Act [1] which sets the overall framework that is further elaborated in the nature conservation laws of the federal states. The IMR applies to developments and projects on all areas, scales of impact and sectors (excluding agriculture, forestry and fisheries) [2].
The overall objective is to ensure the preservation of the existing ecological situation as a minimum standard by avoiding any impairment of nature and landscape in general and more specifically, of the natural assets (species and habitats, soil, water, climate and air quality) as well as the aesthetic quality and the recreational function of the landscape, and compensating for residual unavoidable impacts through nature conservation and landscape management measures [1]. ","It covers all natural assets under the German Federal Nature Conservation Act, including projects at the levels of both urban planning and sectoral planning.The IMR has strict additionally requirements and is regulated by public conservation agencies. It was integrated with Federal Building and Spatial Planning regulations in the 1990s, which introduced greater market-style flexibility, a trend that continues through current reforms. Increased flexibility has led to the use of compensation pools, collectively providing compensation areas and measures. Compensation is undertaken as a result of damage identified in planning (and other) processes, and is generally organized through state planning authorities. At present, the control of the compensation processes via the state means it is not a fully functioning market, and as a result volume of the market is unknown (speciesbanking.com); 

The legal definition of the impact provides that an impact upon ?nature and landscape, as defined in this
Act, shall refer to any changes affecting the shape or use
of areas, or changes in the groundwater level associated
with the active soil layer, which may significantly impair
the performance and functioning of the natural balance or
landscape appearance?.23 The impact mitigation regulation procedure is determined in a so-called ?cascade of legal effects?:
? The requirement to refrain from avoidable impacts;24
? For unavoidable impacts, the requirement of either in-
kind/on-site compensation, or offsetting of the effects
of the impact;Where impairments are unavoidable, the balancing of
the interests relating to nature and the landscape on the
one hand, and to the interests of implementation of a
measure causing such an impact on the other;25
? if the impact is then approved, the party causing the
impact must provide additional monetary compensation
for the residual damage caused with regard to those
effects of the impact which cannot be avoided and must
therefore be compensated.26; The difference between offsetting and
compensation is thus clear: only an ?equivalent? offsetting
of the detrimentally affected function of the balance of
nature is required. That means that offsetting measures
need not necessarily be carried out at the site of the impact.
What is required however is a ?reference of the natural
space? to the site of the effect of the impact. Unlike the
general international use of the term, offset measures
(Ersatzmaánahmen) under German law are not limited
to biodiversity offsets, but also include the aesthetic
components, such as, inter alia, ecosystem and even
landscape quality-referenced offsets. (Albrecht et al 2014)",,Established,confirmed,NNL,"Madsen et al.; Speciesbanking.org; Darbi & Tausch. Loss-Gain calculations in German Impact Mitigation Regulation; (Mazza and Schiller, 2014); Darbi et al. 2016;","Does your country require the inclusion of development of alternatives, mitigation measures and consideration of the elaboration of compensation measures in environmental impact assessment? To a limited extent (CBD Second national report)

C.4-o6.2. Assess the feasibility of and implement compensation mechanisms and incentives
for biodiversity protection and sustainable use in PAs ( National Biodiversity Strategy and Action Plan of Georgia )",
Germany,European Union,Europe,Yes,No,Yes,Implicit,Compensation,Biodiversity,Natura 2000 (Marine),Legislation,2010,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",No information available,,Established,confirmed,NNL,"Madsen et al.; Speciesbanking.org; Darbi & Tausch. Loss-Gain calculations in German Impact Mitigation Regulation; (Mazza and Schiller, 2014); Darbi et al. 2016;","Germany has had the Eingriffsregelung (Impact
Mitigation Regulation in English, or IMR) since
1976. An Institute for European Environmental
Policy (IEEP) report on the use of eco-accounts
in Baden-Wrttemberg found that a diverse
group of stakeholders evaluated the scheme as
an efficient tool to achieve the EU no net loss
principle (Mazza and Schiller, 2014). WCMC report",
Ghana,Organisation,Africa,Yes,No,No,Explicit,Offset,," BBOP pilots: Newmont?s Akyem in Ghana - inland, not marine based.",Voluntary,,BBOP Pilot Program,"Like South Africa, the future of Ghana?s biodiversity offsets are based in the Environmental Impact Statement, which commits projects to avoid, mitigate, and compensate for impacts. However, Ghana is much less advanced than South Africa in developing offsets. The country has at least one voluntary program proposed as a BBOP offset pilot project for the Akyem gold mine in Birim North District of the Eastern Region. Newmont Ghana Gold Ltd. intends to offset its footprint in this moist semi-deciduous forest and achieve no net loss of biodiversity. Potential offset sites and appropriate conservation activities are being determined (Madsen 2010).
",No information available,,Not yet implemented fully,confirmed,,Madsen et al 2010; ,"Germany has had the Eingriffsregelung (Impact
Mitigation Regulation in English, or IMR) since
1976. An Institute for European Environmental
Policy (IEEP) report on the use of eco-accounts
in Baden-Wrttemberg found that a diverse
group of stakeholders evaluated the scheme as
an efficient tool to achieve the EU no net loss
principle (Mazza and Schiller, 2014). WCMC report",
Ghana,Organisation,Africa,Yes,Yes,Yes,Explicit,Offset,Biodiversity,West Coast Conservation Initiative (WCCI) - PES,,2009,West Coast Conservation Initiative (WCCI),"Goal: to lay the foundation for a long-term
conservation effort focused on the western coastal zone of the country
Driver: targeted effort to ensure that the ecological
interests of this valuable part of Ghana are not
swamped by the rush to develop the offshore
oil and gas potential",No information available,,Preliminary,confirmed,,"https://rmportal.net/library/content/translinks/translinks-2009/forest-trends/2010-katoomba-xv-meeting-accra-ghana/Presentation_PotentialPESOptionsinGhanaWestCoast.pdf/at_download/file

K.A.A. deGraft-Johnson, J. Blay, F.K.E. Nunoo, C.C. Amankwah, 2010.?Biodiversity Threats Assessment of the Western Region of Ghana?. The Integrated Coastal and Fisheries Governance (ICFG) Initiative Ghana.http://pdf.usaid.gov/pdf_docs/pnaeb985.pdf; http://www.eianz.org/sitebuilder/aboutus/knowledge/asset/files/320/fiskgreg.pdf;",,
Ghana,National,Africa,Yes,No,Yes,Explicit,EIA/Offset,Environment,,,1999,"Environmental Protection
Agency Act 490/1994, EIA Procedures
1995; EIA Regulation: Environmental Assessment Regulation (LI 1652) 1999 --> amended in 2002 and was reviewed in 2013 (on-going?)",,"{Madsen, 2010 #895}",,Preliminary,confirmed,,Madsen et al. 2010; 2011;  ,"Another significant aim of the meeting was to prepare the groundwork for proposed 2010
Katoomba Meetings in the Congo Region and Southeast Asia. Other key themes included the
potential of agricultural or soil carbon for Africa, the challenge of developing 'cocoa carbon'
credits, the potential of biodiversity offsets, especially in the context of Ghana's imminent offshore
oil exploration, and the importance of wetlands, mangroves and the hydrological or
weather-related functions of West Africa's forests.
",
Greece,European Union,Europe,Yes,No,Yes,Implicit,Compensation,Biodiversity,Natura 2000 (Marine),Legislation,2010,"*EU: In the Member States of the European Union, several Directives relevant to compensation are applicable, including the Birds and Habitats Directives, the European Liability Directive, and the EIA and SEA Directives.","EU legislation protects a wide variety of habitats and species. Compensation for damage occurring in Natura 2000 sites is a legal requirement of the EU Birds and Habitats Directives.

Although some working group participants suggest the NNL Initiative should be
restricted to the terrestrial and freshwater environment, others considered it
should also extend to coastal and marine environments. The Strategy and Staff
Working Paper are silent on this issue. Coastal habitats, like many freshwater or
high altitude habitats, are very dynamic and subject to rapid and large-scale
shifts in their physical characteristics (e.g. through coastal erosion, flooding,
rock-fall) with important consequences for biodiversity. This creates specific
challenges to assessing impacts and designing appropriate offsets. The marine
environment presents some additional challenges in applying the mitigation
hierarchy and compensating for residual impacts although there is growing
experience in this in Europe and worldwide, not least from impact assessments
done for marine Natura 2000 sites. 32 It remains debatable whether knowledge is
sufficient to apply compensation in the marine environment in a comprehensive
and systematic way but there is nonetheless considerable potential for offsetting
some types of impacts (e.g. of coastal defences, ports and navigation, energy
infrastructure) in the marine environment, while ensuring additional gains with
regard to existing legal obligations under the MSFD and the nature directives.
Whilst re-creation per se of sea-bed habitats is very difficult, restoration or ?functional re-creation? measures and averted risk offsets33 both offer opportunities in the marine environment. Similarly, although offsetting at the coast requires the resolution of different issues - not least reversibility questions associated with coastal erosion or with saline inundation34 - experience in coastal habitat restoration, creation and enhancement also continues to evolve. Further there may be opportunities to compensate for some marine activities by offsetting in the coastal environment.",No information available,,In Progress,confirmed,NNL,"Tucker, Graham; Allen, Ben; Conway,
Mavourneen; Dickie, Ian; Hart, Kaley; Rayment, Matt; Schulp, Catharina; van Teeffelen,
Astrid (2013) Policy Options for an EU No Net Loss Initiative. Report to the European
Commission. Institute for European Environmental Policy, London.

http://ec.europa.eu/environment/nature/biodiversity/nnl/pdf/Subgroup_NNL_Scope_Objectives.pdf","
While there have been cases of oil and mining companies voluntarily compensating for impacts to biodiversity in Africa (Ghana, Guinea, Madagascar and South Africai), there are few examples of biodiversity offset or compensation programs.... In addition to the details presented above, other African countries may see offset development in the near future. Like South Africa, the future of Ghana?s biodiversity offsets are based in the Environmental Impact Statement, which commits projects to avoid, mitigate, and compensate for impacts. However, Ghana is much less advanced than South Africa in developing offsets. The country has at least one voluntary program proposed as a BBOP offset pilot project for the Akyem gold mine in Birim North District of the Eastern Region. Newmont Ghana Gold Ltd. intends to offset its footprint in this moist semi-deciduous forest and achieve no net loss of biodiversity. Potential offset sites and appropriate conservation activities are being determined.14 (Madsen et al. 2010).",
Guinea,National,Africa,Yes,No,Unable to determine,Unable to determine,Offset,,Unknown,Legislation,,,,No information available,,Preliminary,confirmed,,"Pilla 2014, http://www.riotinto.com/guinea/seia-13651.aspx",,
Guinea,Organisation,Africa,Yes,No,Yes,Explicit,Offset,Biodiversity,"Rio Tinto Simandou Iron Ore Project (marine included)
COMBO Project
Compagnie des Bauxites deGuin‚e (CBG) bauxite mine Expansion Project (?the Project?) in the north-west of the Republic of Guinea. (marine not included)

the Global Alumina Project (GAP) in the Republic of Guinea (Kormos et al.  2014)",Voluntary,2013,Rio Tinto -IFC,"Rio Tinto Iron Ore is developing a large-scale resource in the Republic of Guinea in West Africa. The project involves mine, rail and port infrastructure, spanning 700km from mine to port. At an early stage, the project recognized the importance of harmonizing its biodiversity approach with pre-existing national and international priorities. A dedicated working group has been established with representation from government, NGOs and Rio Tinto to ensure that the project?s mitigation and offset plans are appropriately aligned with the Guinean Government?s national biodiversity and protected areas strategy. This was recognized as critical because mining companies face significant risks in engaging in land use change at potential offset sites outside of their concessions, unless such interventions have been government approved. ",No information available,,In Progress,,NNL or NG,"http://www.riotinto.com/guinea/simandou-4695.aspx
Kormos et al.  2014. 
http://www.cbg-guinee.com/esia-publication/02-supplementary-information-package?download=227:20160129-cbg-chimpanzee-offset-implementation-strategy-and-pre-feasibility-study-final-report.","In Africa, a system is being developed by South Africa at a national level and at a state level. Namibia is integrating biodiversity offsets into their Strategic Environmental Assessment (SEA). Uganda, Madagascar, Gabon, Mozambique, Guinea are also initiating processes to develop some type of policy, legislation and guidance on biodiversity offsets (Pilla 2014).",
Guyana,National,South/Central America,Yes,No,Unable to determine,Unable to determine,EIA ,,"No examples of specific offset policies. One hydroelectric dam project included the use of aquatic offsets, but was later abandoned.",Legislation,,,,No information available,,Potential,confirmed,,"Villaroya et al. 2014, Donswald et al. 2012",Listed in Darbi et al. 2016 but not enough information to determine extent of marine offsets as part of a national plan.,
Honduras,National,South/Central America,Yes,No,Unable to determine,Unable to determine,EIA,,,Legislation,,,,No information available,,Potential,confirmed,,"Villaroya et al. 2014, Donswald et al. 2012","In Latin America five territories required the use of offsets
(Brazil, Colombia, French Guiana, Mexico and Paraguay), nine
enabled the use of this tool (Argentina, Bolivia, Costa Rica, Cuba,
Guyana, Honduras, Nicaragua, Panama, Uruguay and Vene-
zuela), and three were developing policies related to offsets
(Bahamas, Chile, Belize and Peru).",
